Complexity	Time	Predicted
602574	16	25,2213
404327	52	18,9962
20828	2	6,95391
220398	14	13,2206
402073	18	18,9254
155182	7	11,1728
234743	5	13,6711
376800	10	18,1318
83398	1	8,91867
1,34459e+06	66	48,5214
253599	6	14,2632
72554	4	8,57816
95374	4	9,29473
310370	23	16,0458
296344	30	15,6054
127577	5	10,3059
299879	43	15,7164
107865	14	9,68696
175556	63	11,8125
329152	8	16,6356
2,19977e+06	65	75,375
47771	1	7,79994
1,1068e+06	29	41,0546
160527	12	11,3406
536620	18	23,1503
15860	0	6,79791
780680	24	30,814
940894	36	35,8449
786195	50	30,9872
126147	7	10,261
22231	1	6,99796
811746	22	31,7895
800678	35	31,442
436232	64	19,998
267480	9	14,699
29753	0	7,23416
149535	6	10,9954
547500	45	23,4919
263864	6	14,5855
20245	0	6,9356
618054	21	25,7074
459046	33	20,7144
627566	37	26,0061
367	0	6,31141
499271	28	21,9775
227876	5	13,4554
516564	15	22,5205
831213	27	32,4008
73819	2	8,61788
297629	7	15,6457
485526	19	21,5459
299847	11	15,7154
112566	2	9,83457
134575	3	10,5257
796153	33	31,2999
264402	7	14,6024
163826	5	11,4442
403216	19	18,9613
952691	65	36,2154
61979	3	8,24609
383919	16	18,3553
625983	37	25,9564
156107	19	11,2018
85612	2	8,98819
311436	12	16,0793
745445	24	29,7076
80507	10	8,82789
429787	15	19,7956
28449	2	7,19321
21548	1	6,97652
42442	5	7,63261
11511	1	6,66134
82016	3	8,87527
33711	0	7,35845
377464	34	18,1526
1,34237e+06	49	48,4518
507272	13	22,2287
11983	0	6,67616
126372	35	10,2681
689125	21	27,9391
2,16949e+06	75	74,424
12198	0	6,68292
74730	5	8,64648
108650	5	9,71161
1,0522e+06	47	39,3399
198164	13	12,5224
189775	7	12,259
286673	8	15,3017
593719	47	24,9433
1752	0	6,3549
901662	51	34,613
9944	0	6,61214
552152	22	23,638
502382	23	22,0752
563762	13	24,0026
524912	32	22,7827
290621	9	15,4257
13934	0	6,73743
228668	9	13,4803
52884	1	7,9605
1,38044e+06	60	49,6471
417226	14	19,4012
78681	3	8,77055
345619	9	17,1527
850083	21	32,9934
21513	1	6,97542
361061	12	17,6376
851114	66	33,0257
1,1704e+06	28	43,0517
113160	9	9,85323
540074	17	23,2588
32058	1	7,30654
271	0	6,3084
90765	1	9,15
42566	2	7,6365
1,94066e+06	66	67,2385
213128	6	12,9923
270529	25	14,7948
19030	1	6,89745
290862	7	15,4333
576809	16	24,4123
8344	0	6,5619
384141	16	18,3623
89139	8	9,09894
1,09685e+06	66	40,7422
1,30479e+06	59	47,2717
12308	1	6,68637
982612	39	37,1549
403618	20	18,9739
204182	5	12,7114
295809	21	15,5886
39961	1	7,5547
68425	1	8,4485
156705	6	11,2206
23882	9	7,04981
143816	4	10,8159
17477	2	6,84868
71780	8	8,55385
152460	4	11,0873
71120	1	8,53313
5506	0	6,47278
10535	0	6,6307
1,10998e+06	27	41,1545
335396	10	16,8317
139865	4	10,6918
546227	18	23,452
33250	1	7,34397
338032	16	16,9144
1,20575e+06	35	44,1618
627191	33	25,9943
316804	15	16,2479
748955	32	29,8178
786829	31	31,0071
612966	19	25,5476
63888	3	8,30603
1,55313e+06	52	55,0698
28407	1	7,1919
231137	6	13,5578
67011	1	8,4041
175536	10	11,8119
541989	12	23,3189
419514	17	19,4731
389871	9	18,5422
474342	20	21,1947
416855	11	19,3896
238062	18	13,7753
195108	56	12,4265
100453	2	9,45421
100623	3	9,45955
127567	6	10,3056
90443	4	9,13989
667664	26	27,2652
349407	8	17,2716
315899	11	16,2194
379427	10	18,2143
6391	0	6,50057
1,05866e+06	69	39,5429
53973	6	7,99469
149153	12	10,9834
195204	10	12,4295
101078	2	9,47384
128312	3	10,329
1,46292e+06	36	52,237
254082	12	14,2783
1,78697e+06	63	62,4126
268931	7	14,7446
1,98506e+06	55	68,6329
320976	11	16,3789
610850	24	25,4812
34156	1	7,37242
579611	15	24,5003
308776	16	15,9958
90821	9	9,15176
174820	13	11,7894
135161	2	10,5441
180573	5	11,9701
423652	18	19,603
263620	7	14,5778
235505	18	13,695
200621	8	12,5996
34773	6	7,39179
210109	8	12,8975
110750	3	9,77755
10418	0	6,62702
375523	50	18,0917
1,08347e+06	37	40,322
288203	10	15,3498
461494	14	20,7913
271784	10	14,8342
81914	6	8,87207
13756	4	6,73184
792517	52	31,1857
88625	2	9,0828
257531	20	14,3866
82952	35	8,90466
2,05183e+06	60	70,7295
33597	1	7,35487
2,35575e+06	65	80,2728
68707	1	8,45736
149606	4	10,9977
159227	12	11,2998
474515	29	21,2001
73633	50	8,61204
78994	9	8,78038
1,83589e+06	57	63,9486
262499	10	14,5426
66007	12	8,37257
634118	50	26,2118
17942	0	6,86328
675440	17	27,5094
94822	3	9,27739
134733	10	10,5306
609557	20	25,4406
137786	8	10,6265
1,88501e+06	49	65,4913
405867	17	19,0445
583872	14	24,6341
1,0186e+06	72	38,2848
140977	16	10,7267
90196	3	9,13213
147053	3	10,9175
28216	9	7,1859
297199	23	15,6322
867040	21	33,5258
701623	22	28,3316
329720	20	16,6534
186338	4	12,1511
64323	12	8,31969
376697	11	18,1286
33510	0	7,35213
165526	15	11,4976
9772	0	6,60674
38704	0	7,51523
916327	23	35,0735
409627	15	19,1626
301194	65	15,7577
19069	7	6,89867
107149	22	9,66447
236340	7	13,7212
151999	5	11,0728
44953	0	7,71146
71155	3	8,53423
290714	9	15,4286
145732	10	10,876
782779	24	30,88
185531	8	12,1258
58043	2	8,1225
462133	38	20,8113
538007	15	23,1939
344927	17	17,1309
31252	8	7,28123
971687	27	36,8119
1,5046e+06	72	53,5458
47886	2	7,80356
132580	4	10,463
40356	7	7,56711
68168	2	8,44043
73318	6	8,60215
772788	58	30,5662
1697	0	6,35317
875343	25	33,7866
495286	15	21,8524
109978	27	9,75331
2157	0	6,36762
543840	21	23,377
844234	34	32,8097
7123	1	6,52356
133327	9	10,4865
6150	1	6,493
90340	5	9,13665
67002	7	8,40382
470072	19	21,0606
352832	9	17,3792
58523	3	8,13757
451526	18	20,4783
325196	17	16,5114
272879	9	14,8686
2,01434e+06	60	69,5521
429126	17	19,7749
103392	6	9,5465
247609	6	14,0751
47071	9	7,77796
230305	9	13,5317
26956	1	7,14633
127722	4	10,3105
387948	10	18,4819
724636	24	29,0542
1,07442e+06	43	40,0376
108604	5	9,71016
464167	17	20,8752
197712	19	12,5082
25272	10	7,09345
297490	16	15,6414
74313	1	8,63339
288132	20	15,3475
549437	37	23,5528
77427	4	8,73117
466299	11	20,9422
1,84131e+06	47	64,1188
423809	25	19,6079
37073	2	7,46402
261638	20	14,5156
999505	29	37,6854
68576	1	8,45324
50458	2	7,88432
484790	38	21,5228
48193	1	7,8132
31040	0	7,27457
74574	14	8,64159
91439	9	9,17116
54986	10	8,0265
2,47851e+06	61	84,1276
595346	15	24,9944
142152	4	10,7636
346234	8	17,172
736351	21	29,4221
734892	20	29,3763
200697	13	12,602
136761	4	10,5943
133086	3	10,4789
162130	8	11,3909
475973	12	21,2459
892862	29	34,3367
606678	32	25,3502
81442	3	8,85725
93385	2	9,23227
30067	0	7,24402
389095	10	18,5179
